month,Portfolios BV returns (%),Portfolios BN returns (%),Portfolios BG returns (%),Portfolios SV returns (%),Portfolios SN returns (%),Portfolios SG returns (%)
Jun-19,-1.979866167,-2.788417693,-0.574824916,-10.6157497,-6.615712589,-5.042774165
Jul-19,-14.02572161,-7.059813367,-3.988535688,-15.10319882,-11.79480195,-12.36315449
Aug-19,-11.1179782,0.283912347,1.970506389,-6.327497077,-2.996062671,0.135137567
Sep-19,6.27693681,6.817888502,3.835193432,6.559727262,4.240117251,5.518768036
Oct-19,1.952248074,6.870351573,4.158552107,-0.489628559,1.412403264,2.35189203
Nov-19,6.99746703,1.779276954,-2.969592456,-0.969199689,-1.775675705,-1.018525423
Dec-19,2.396814436,-0.760368071,0.41174781,-1.741282987,-0.128351667,0.613850377
Jan-20,-4.839388385,-3.199481277,2.505667037,7.380275116,6.051697421,6.635189405
Feb-20,-15.50522725,-7.583925034,-4.665309893,-12.80558606,-10.92244919,-5.907344955
Mar-20,-28.76346377,-20.17434255,-15.55625312,-31.64380397,-33.34059015,-30.85978487
Apr-20,18.17413223,21.20067056,11.24067228,24.66806416,18.99247008,15.97430088
May-20,5.09290653,1.848587235,0.479183939,-4.450812286,-1.118991482,-1.7095301
Jun-20,17.94457443,10.2470112,5.190899673,30.04020517,21.20746313,12.89410963
Jul-20,3.105165465,11.09981679,6.820624885,0.549768857,5.616319604,5.924780501
Aug-20,12.23863142,1.82175846,2.45740366,13.84062918,12.09487921,13.27826068
Sep-20,-8.993319075,-5.118143765,4.035356322,-3.214627341,-1.202738346,1.521759
Oct-20,-4.341310679,2.199167201,0.797877471,1.275138644,-0.079622302,-1.148876958
Nov-20,26.86997462,14.89430829,5.52505929,10.93781638,12.94080186,10.58695633
Dec-20,17.55574052,6.787928973,7.851497596,19.37772154,11.29164123,7.650729344
Jan-21,-5.379839501,2.970440435,-0.750168218,-1.180608089,0.853534363,-0.497290651
Feb-21,28.51563807,14.2820886,4.323403239,11.8098046,10.90451606,11.41510729
Mar-21,1.466698907,1.966033773,3.941944053,-1.449931244,0.538059009,0.243293742
Apr-21,16.74706657,3.197330408,0.269086423,9.976367022,7.247713455,4.925468795
May-21,6.892447074,8.099732005,7.024624994,16.24667039,13.10202005,10.49356875
Jun-21,1.127594128,2.816007211,2.632344421,18.0726636,10.10536711,5.009616046
Jul-21,10.58714414,2.215559432,0.472174465,12.19160284,10.16747957,7.671081789
Aug-21,-0.314112194,0.058917089,8.819332288,-10.0021737,-3.764818392,-3.323080928
Sep-21,18.96887378,4.869824897,3.601178527,10.59777727,7.08777862,4.15771262
Oct-21,-0.418482302,-1.072953292,-1.103929694,1.624497042,-0.232186918,1.121951196
Nov-21,-3.474959465,-4.250076636,-0.301237756,0.578023699,-2.906398301,0.586080539
Dec-21,-1.470410907,4.106713068,3.685025383,13.26265132,5.760413314,5.498613435
Jan-22,12.6903422,2.346021547,-2.470412722,6.356145011,3.909904152,0.006758108
Feb-22,-5.064603776,-0.368865996,-3.367505831,-11.1985077,-9.571979195,-8.412102793
Mar-22,2.276636093,4.940331736,4.989301975,8.750458306,6.115267328,4.442113258
Apr-22,5.071891594,0.697362383,1.364037119,6.661588332,5.585358766,1.679460865
May-22,-4.96135945,-9.606075207,-5.392265507,-12.43672944,-9.257469704,-7.660167821
Jun-22,-4.271732864,-11.66957939,-3.713088693,-9.739688912,-5.121275134,-4.552168326
Jul-22,-1.636235307,12.57554757,8.919262821,11.11424684,8.531568841,7.615929302
Aug-22,6.387121579,7.054056132,5.060853725,9.057974749,8.357019426,5.012798896
Sep-22,-5.566859565,-5.475311826,-2.438636316,-2.051398128,-0.868352832,-0.705802615
Oct-22,6.076800138,5.594518735,1.474684692,2.358447392,2.47899539,0.56413086
Nov-22,6.719454072,5.16632528,1.697621364,7.070389452,4.226544801,1.063403873
Dec-22,0.080326566,-3.713719462,-4.169317891,-0.905517113,-0.586765817,-1.854779934
Jan-23,3.032066052,-3.829997779,-5.132398212,-2.118598031,-1.610075624,-1.262245612
Feb-23,-1.727987169,-2.511190741,-6.13013616,-8.172825277,-4.736958308,-4.388050891
Mar-23,2.098556395,0.973265589,1.289017828,-0.590080327,-1.07425663,-1.457195163
Apr-23,3.816042995,5.555563793,3.06604719,14.08887085,9.371518956,8.584914519
May-23,1.260429662,1.634499952,5.638324592,5.257890821,5.38249135,4.385265942
Jun-23,5.276075461,5.848691039,3.453827693,8.504422424,9.3614982,7.436271924
Jul-23,11.4785809,7.690926914,2.494541849,11.62610993,10.30443742,6.352516845
Aug-23,-0.759197921,-1.28682423,0.118081094,10.54313372,8.59715888,5.424678541
Sep-23,6.434825353,1.758616901,2.353306017,4.902753814,1.595520289,-0.696838603
Oct-23,-4.763152844,-2.794902242,-2.446599153,0.601973781,-0.047342452,-1.227112941
Nov-23,15.13539695,7.588818732,7.439461089,9.93081652,9.785722789,6.600780389
Dec-23,14.23374625,9.441351203,8.623027026,6.373827734,6.786839914,3.481858869
Jan-24,15.3740191,6.961111199,2.023536954,13.28793983,10.42599627,6.345051961
Feb-24,5.834731807,3.244497239,2.27741262,-2.829260044,-1.028513742,0.243235656
Mar-24,2.752423507,0.957327896,0.475896788,-6.750847174,-6.790200185,-5.711408486
Apr-24,6.950721427,5.301155982,2.179506394,13.93439214,12.9743496,9.25708663
May-24,-0.658909315,1.472155097,3.070983208,-3.698102867,-0.663667914,-1.7532856
Jun-24,2.055212423,8.442382554,6.096754483,11.09271405,11.46516408,10.66454843
Jul-24,11.05800915,3.346031064,5.963268951,9.182795521,8.969550317,5.176392534
Aug-24,-1.646125688,0.004344266,0.56975972,0.74920394,2.748470076,1.07581506
Sep-24,0.231958279,2.055125815,2.013594066,0.939290949,-0.081444421,0.426477236
Oct-24,-13.25663284,-8.350712597,-7.238162112,-4.675863944,-3.429180424,-2.176073897
Nov-24,-1.917342781,-1.062945161,-0.147872169,1.249341345,0.744794435,1.470298902
Dec-24,-2.879175002,-2.002967196,-1.436318426,-0.371545931,-0.345042299,0.033598174
Jan-25,-2.492863334,-1.678361415,-4.50357353,-8.449284551,-10.31085797,-8.718217992
Feb-25,-9.812304135,-7.914120347,-10.83155122,-17.09886308,-14.58610435,-15.88922687
Mar-25,13.46181118,7.720767638,7.483079581,4.803009654,6.787441362,5.707909002
